pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,count,PBhand,pitch_cat
SL,2021-10-03,85.1,2.39,6.05,"Detmers, Reid",641487,672282,single,hit_into_play,NA,NA,NA,NA,3,J.P. Crawford singles on a ground ball to center fielder Juan Lagares.   Jarred Kelenic scores.,R,L,L,SEA,LAA,X,8,ground_ball,0,1,2021,-0.12,-0.4,0.58,3.44,NA,672284,NA,2,2,Bot,127.68,100.38,NA,NA,435559,NA,NA,-3.98697032410525,-123.957005787793,0.921230663066241,-0.487984636761261,22.8652521650964,-36.6551592952511,3.47,1.59,86,80.2,5,84.6,2224,5.8,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.74,0.254,0.229,0.9,1,1,0,2,23,2,Slider,1,4,1,4,4,2,2,4,Standard,Standard,293,0.079,0.78,0_1,bLpL,breaking
FF,2021-10-03,93.8,2.31,6.03,"Detmers, Reid",641487,672282,,foul,NA,NA,NA,NA,2,J.P. Crawford singles on a ground ball to center fielder Juan Lagares.   Jarred Kelenic scores.,R,L,L,SEA,LAA,S,NA,,0,0,2021,0.74,1.45,0.05,3.25,NA,672284,NA,2,2,Bot,NA,NA,NA,NA,435559,NA,NA,-7.42811219210885,-136.480075732394,-4.68157228782456,10.7660753518147,28.2386114867257,-13.1856397927402,3.47,1.59,222,74.6,27,93.3,1959,5.9,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.62,NA,NA,NA,NA,NA,NA,NA,23,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,150,0,-0.045,0_0,bLpL,fastball
CU,2021-10-03,73.9,2.12,6.25,"Detmers, Reid",664238,672282,strikeout,called_strike,NA,NA,NA,NA,8,Dylan Moore called out on strikes.,R,R,L,SEA,LAA,S,2,,2,2,2021,-1.15,-1.36,0.25,1.67,NA,672284,NA,1,2,Bot,NA,NA,NA,NA,435559,NA,NA,-1.80406520964269,-107.530071722151,0.417898384394981,-8.41805392718789,21.8638459762753,-42.939574836165,3.37,1.53,NA,NA,NA,72.4,2580,5.5,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.97,NA,NA,0,1,0,0,NA,22,6,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,329,-0.032,-0.315,2_2,bRpL,breaking
FF,2021-10-03,94.6,2.43,5.96,"Detmers, Reid",664238,672282,,ball,NA,NA,NA,NA,13,Dylan Moore called out on strikes.,R,R,L,SEA,LAA,B,NA,,1,2,2021,0.6,1.4,-0.98,1.91,NA,672284,NA,1,2,Bot,NA,NA,NA,NA,435559,NA,NA,-10.1173075554111,-137.236366306753,-7.94457102689852,9.75192894144047,28.5459246826064,-12.795039505054,3.41,1.62,NA,NA,NA,93.9,2152,5.9,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.59,NA,NA,NA,NA,NA,NA,NA,22,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,146,0,0.047,1_2,bRpL,fastball
FF,2021-10-03,94.3,2.08,6.15,"Detmers, Reid",664238,672282,,foul,NA,NA,NA,NA,5,Dylan Moore called out on strikes.,R,R,L,SEA,LAA,S,NA,,1,2,2021,0.8,1.44,0.22,2.7,NA,672284,NA,1,2,Bot,NA,NA,NA,NA,435559,NA,NA,-6.56480030357706,-137.068961332232,-6.41200419837569,11.5960899740804,30.5342693190937,-12.8199477000578,3.37,1.53,205,74.3,54,93.7,2180,6,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.49,NA,NA,NA,NA,NA,NA,NA,22,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,151,0,0,1_2,bRpL,fastball
FF,2021-10-03,93.2,2.16,6.16,"Detmers, Reid",664238,672282,,swinging_strike,NA,NA,NA,NA,2,Dylan Moore called out on strikes.,R,R,L,SEA,LAA,S,NA,,1,1,2021,0.57,1.47,-0.11,3.26,NA,672284,NA,1,2,Bot,NA,NA,NA,NA,435559,NA,NA,-7.02418249589622,-135.488985444986,-4.86813947781764,8.56521364047316,29.8012564563671,-13.2291795074426,3.37,1.53,NA,NA,NA,92.5,2198,5.9,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.57,NA,NA,NA,NA,NA,NA,NA,22,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,158,0,-0.072,1_1,bRpL,fastball
FF,2021-10-03,94.2,2.33,5.94,"Detmers, Reid",664238,672282,,ball,NA,NA,NA,NA,13,Dylan Moore called out on strikes.,R,R,L,SEA,LAA,B,NA,,0,1,2021,0.47,1.41,-1.52,2.45,NA,672284,NA,1,2,Bot,NA,NA,NA,NA,435559,NA,NA,-10.9468030213656,-136.643799634041,-6.44859801593466,8.24340194669267,30.0579921025863,-13.1704474104414,3.45,1.59,NA,NA,NA,93.6,2095,6.1,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.4,NA,NA,NA,NA,NA,NA,NA,22,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,145,0,0.032,0_1,bRpL,fastball
CU,2021-10-03,73.1,1.99,6.24,"Detmers, Reid",664238,672282,,foul,NA,NA,NA,NA,4,Dylan Moore called out on strikes.,R,R,L,SEA,LAA,S,NA,,0,0,2021,-0.99,-1.29,-0.79,2.42,NA,672284,NA,1,2,Bot,NA,NA,NA,NA,435559,NA,NA,-3.83576758031352,-106.333759459374,1.92027375813863,-6.73943494613883,20.2619538286803,-42.4925032066207,3.37,1.53,5,62.4,-24,72.1,2411,5.8,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.73,NA,NA,NA,NA,NA,NA,NA,22,1,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,327,0,-0.046,0_0,bRpL,breaking
CU,2021-10-03,74.2,2.18,6.22,"Detmers, Reid",663728,672282,field_out,hit_into_play,NA,NA,NA,NA,14,"Cal Raleigh grounds out, second baseman David Fletcher to first baseman Jared Walsh.   Jarred Kelenic to 2nd.",R,R,L,SEA,LAA,X,4,ground_ball,3,2,2021,-1.04,-1.35,0.67,1.44,NA,NA,672284,0,2,Bot,138.33,167.3,NA,NA,435559,NA,NA,-1.27115086411632,-107.964478549186,-0.0999984222465888,-7.84654507282054,20.7286542646034,-42.8695953818066,3.49,1.6,2,54.3,-51,73.1,2437,5.7,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.81,0.226,0.203,0,1,0,0,1,21,8,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,324,-0.021,-0.66,3_2,bRpL,breaking
CU,2021-10-03,73.9,2.22,6.23,"Detmers, Reid",663728,672282,,ball,NA,NA,NA,NA,12,"Cal Raleigh grounds out, second baseman David Fletcher to first baseman Jared Walsh.   Jarred Kelenic to 2nd.",R,R,L,SEA,LAA,B,NA,,2,2,2021,-1.18,-1.31,0.48,3.39,NA,NA,672284,0,2,Bot,NA,NA,NA,NA,435559,NA,NA,-1.46372814472278,-107.423218230375,3.78170925285118,-8.77608307544253,20.7625394972539,-43.1785938941211,3.23,1.48,NA,NA,NA,72.5,2348,5.6,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.94,NA,NA,NA,NA,NA,NA,NA,21,7,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,322,0,0.174,2_2,bRpL,breaking